CWPP Name (HIDE),CWPP Name (CLICK FOR PDF),Jurisdiction Level,County,State,Year Published,Update/Revision of Former CWPP,Prepared by Private Consultants,CWPP Boundary Area (Square Kilometers),Source of CWPP Boundary
Nevada-Yuba-Placer,<a href='https://drive.google.com/file/d/1jmHJjWCVMwTnq-dv4uJs5xs6FPG4kNx7/view?usp=drivesdk' target='_blank'>Nevada-Yuba-Placer </a>,Fire Protection District,"Nevada, Yuba, Placer",CA,2006,0,0,12043.59,CWPP
Pie Town,<a href='https://drive.google.com/file/d/1Po8y57lViomm58RNgSiMAsDGeFs7TQbb/view?usp=drivesdk' target='_blank'>Pie Town </a>,Community,Catron,NM,2006,0,0,118.76,CWPP
Pine Forest,<a href='https://drive.google.com/file/d/13Ix2a3uvYFyQ870DpVpE8_M7fVqWiNm5/view?usp=drivesdk' target='_blank'>Pine Forest </a>,Community,Okanogan,WA,2006,0,1,2.15,CWPP
Pine Valley,<a href='https://drive.google.com/file/d/1o4EnBTJwbzJOSRTx4ZfPBpp5t1zNdfma/view?usp=drivesdk' target='_blank'>Pine Valley </a>,Fire Protection District,San Diego,CA,2006,0,0,182.21,CWPP
Pueblo,<a href='https://drive.google.com/file/d/1vBKXbeM2wPyiE-LO6eBVK5yWNulSMk28/view?usp=drivesdk' target='_blank'>Pueblo </a>,County,Pueblo,CO,2006,0,1,1073.16,Colorado Forest Atlas
Ramona,<a href='https://drive.google.com/file/d/1N3o7zR7qc__gHMfE4PfLaS606yvWRXRn/view?usp=drivesdk' target='_blank'>Ramona </a>,Community,San Diego,CA,2006,0,0,3.11,CWPP
Rand,<a href='https://drive.google.com/file/d/1KGOhmCblQ3dam6AtgVsY6DyppbZi53vn/view?usp=drivesdk' target='_blank'>Rand </a>,Community,Jackson,CO,2006,0,0,441.44,Colorado Forest Atlas
San Diego,<a href='https://drive.google.com/file/d/13qrHlIoyW6Dc4RnhL9iSyE5jJmR0Z3JP/view?usp=drivesdk' target='_blank'>San Diego </a>,County,San Diego,CA,2006,0,0,11721.35,"US Census Bureau, 2018 Cartographic Boundary Files"
San Jacinto,<a href='https://drive.google.com/file/d/1rHrlm9E0N2le-ZZTWxB7pLUSJGna86PB/view?usp=drivesdk' target='_blank'>San Jacinto </a>,Community,Riverside,CA,2006,0,1,1363.1,Google Maps
San Juan Basin,<a href='https://drive.google.com/file/d/1WcAxNXkdacQ5HYlF-T7O1R4hgWvqwVND/view?usp=drivesdk' target='_blank'>San Juan Basin </a>,Community,San Juan,NM,2006,0,0,1134.2,CWPP
San Marcos,<a href='https://drive.google.com/file/d/1CagLQvUvbWFlNvyRlTf0SZnXA1DtVVF2/view?usp=drivesdk' target='_blank'>San Marcos </a>,Community,San Diego,CA,2006,0,1,177.63,CWPP
Scott River,<a href='https://drive.google.com/file/d/1mSDF1ueFx8M998nG3dTXKLpym6S8ipSV/view?usp=drivesdk' target='_blank'>Scott River </a>,Community,Siskiyou,CA,2006,0,0,2113.22,CWPP
Scripps Ranch,<a href='https://drive.google.com/file/d/1TQ2oNSVsE-cByqnIo_bHCBQ51YnfATPq/view?usp=drivesdk' target='_blank'>Scripps Ranch </a>,Community,San Diego,CA,2006,0,0,24.8,CWPP
Seven Basins,<a href='https://drive.google.com/file/d/14XIi5yjJNEMcgvPBpBd_Dy6FfxFxqXQr/view?usp=drivesdk' target='_blank'>Seven Basins </a>,Community,Jackson,OR,2006,0,0,861.69,CWPP
Shasta Valley,<a href='https://drive.google.com/file/d/1oFQAbvA1X-zusdUUSqeM4MPO6luge8_7/view?usp=drivesdk' target='_blank'>Shasta Valley </a>,Community,Shasta,CA,2006,0,0,2830.18,CWPP
Shoshone,<a href='https://drive.google.com/file/d/1RGbQ4dS04dcx_3DMfMUrQvZWNiV3EWEk/view?usp=drivesdk' target='_blank'>Shoshone </a>,County,Shoshone,ID,2006,1,0,6845.73,"US Census Bureau, 2018 Cartographic Boundary Files"
Sitgreaves National Forest,<a href='https://drive.google.com/file/d/1JFWNQCwO7ZcoRR-5agwZCBcEG6vXcnKA/view?usp=drivesdk' target='_blank'>Sitgreaves National Forest</a>,Community,"Apache, Coconino, Navajo",AZ,2006,1,0,1319.47,CWPP
Socorro,<a href='https://drive.google.com/file/d/1ruhkNixHNhbxxDVpRTfT0QDOvOz6A8iS/view?usp=drivesdk' target='_blank'>Socorro </a>,County,Socorro,NM,2006,0,0,17218.93,"US Census Bureau, 2018 Cartographic Boundary Files"
South Shore Lake Chelan,<a href='https://drive.google.com/file/d/1XDNFyvRILdrv9eyVQyXIiO17P3KX2yVv/view?usp=drivesdk' target='_blank'>South Shore Lake Chelan </a>,Community,Chelan,WA,2006,0,1,321.93,CWPP
Stillwater,<a href='https://drive.google.com/file/d/1NZ2NH3b5W0r5Cjjo91Gozx_HrEPx9wtG/view?usp=drivesdk' target='_blank'>Stillwater </a>,County,Stillwater,MT,2006,0,0,4677.1,"US Census Bureau, 2018 Cartographic Boundary Files"
Sublette,<a href='https://drive.google.com/file/d/1zxumEk9e7lt9Z3sQRtkHpjQzWGft68pJ/view?usp=drivesdk' target='_blank'>Sublette </a>,County,Sublette,WY,2006,0,0,12782.22,"US Census Bureau, 2018 Cartographic Boundary Files"
Summit,<a href='https://drive.google.com/file/d/1OHZqfvqHrq3yzsiOCYic9AojErXVTBb_/view?usp=drivesdk' target='_blank'>Summit </a>,County,Summit,CO,2006,0,0,1602.52,Colorado Forest Atlas
Taos Pines,<a href='https://drive.google.com/file/d/1DHgEvDUt28B1qK93DjELUey4P4nlfwBJ/view?usp=drivesdk' target='_blank'>Taos Pines </a>,Community,Colfax,NM,2006,0,0,0.89,CWPP
Tillamook,<a href='https://drive.google.com/file/d/1Hm6ZBMCSCcxTJNwDRfYNB_WG2nPLup3r/view?usp=drivesdk' target='_blank'>Tillamook </a>,County,Tillamook,OR,2006,0,0,2855.62,Oregon Spatial Data Library
Twin Falls,<a href='https://drive.google.com/file/d/13DxbOqf5JbIjCjjADMVXiVRAjbG2C7p1/view?usp=drivesdk' target='_blank'>Twin Falls </a>,County,Twin Falls,ID,2006,1,1,4993.9,"US Census Bureau, 2018 Cartographic Boundary Files"
Uinta,<a href='https://drive.google.com/file/d/1-lAbbbI-mCnG4OeYMA-BMOsFzYcbiO7O/view?usp=drivesdk' target='_blank'>Uinta </a>,County,Uinta,WY,2006,0,0,5407.5,"US Census Bureau, 2018 Cartographic Boundary Files"
Ute Park,<a href='https://drive.google.com/file/d/111fzz45R6NHB-dSnYNjxwP50b4uSqcCE/view?usp=drivesdk' target='_blank'>Ute Park </a>,Community,Colfax,NM,2006,0,0,36.49,CWPP
West Metro,<a href='https://drive.google.com/file/d/1CNvBqTuVklqAjDU433XdDvZzd71TWs5z/view?usp=drivesdk' target='_blank'>West Metro </a>,Fire Protection District,Jefferson,CO,2006,0,1,38.5,Colorado Forest Atlas
Wheeler,<a href='https://drive.google.com/file/d/1QeZ5PL4YZ6oq2QcKQwehEvtPWcjitGh_/view?usp=drivesdk' target='_blank'>Wheeler </a>,County,Wheeler,OR,2006,0,0,4443.03,Oregon Spatial Data Library
Willow Creek,<a href='https://drive.google.com/file/d/1CHoatBI0W5eN-w83TgJ2uIbrPOSBneQJ/view?usp=drivesdk' target='_blank'>Willow Creek </a>,Community,Catron,NM,2006,0,0,508.73,CWPP
Woodmoor,<a href='https://drive.google.com/file/d/1-KkIRvYNYIffPxtqQiXOoIvEPf3toi-A/view?usp=drivesdk' target='_blank'>Woodmoor </a>,Community,El Paso,CO,2006,0,0,11,Colorado Forest Atlas
Yellowstone,<a href='https://drive.google.com/file/d/1JEb2kaPPAcJEyRsyXYUHO3cYQAKi6X4t/view?usp=drivesdk' target='_blank'>Yellowstone </a>,County,Yellowstone,MT,2006,0,1,6861.2,"US Census Bureau, 2018 Cartographic Boundary Files"
Angelus Oaks,<a href='https://drive.google.com/file/d/1_iWqEvUSAR4zy_4D3Lt3MJTfUYqYPTNf/view?usp=drivesdk' target='_blank'>Angelus Oaks </a>,Community,San Bernardino,CA,2005,0,0,1.57,Google Maps
Arrowhead,<a href='https://drive.google.com/file/d/1WmY25yRkvTj1MHCQzPi1kPZoFBgnvhYb/view?usp=drivesdk' target='_blank'>Arrowhead </a>,Community,San Bernardino,CA,2005,0,0,1346.16,CWPP
Auburn Lake Trails,<a href='https://drive.google.com/file/d/183vrV4yhB4ABLoT9LyJskA2Gr9V1Bt-q/view?usp=drivesdk' target='_blank'>Auburn Lake Trails </a>,Community,El Dorado,CA,2005,1,1,9.86,CWPP
Baca Grande,<a href='https://drive.google.com/file/d/1FiQg49Qcdy3OhUSBYfFIfUmDDPMd60j9/view?usp=drivesdk' target='_blank'>Baca Grande </a>,Community,Saguache,CO,2005,0,1,700.78,Colorado Forest Atlas
Baker,<a href='https://drive.google.com/file/d/1D97I7P1qO1EPHza05VLThT7zqoWC0Ips/view?usp=drivesdk' target='_blank'>Baker </a>,County,Baker,OR,2005,0,0,7998.68,Oregon Spatial Data Library
Beaverhead,<a href='https://drive.google.com/file/d/1L-jK1WBvrLLZ2tXSCl1wGAfE9jul7NEw/view?usp=drivesdk' target='_blank'>Beaverhead </a>,County,Beaverhead,MT,2005,0,1,14434.25,"US Census Bureau, 2018 Cartographic Boundary Files"
Benton,<a href='https://drive.google.com/file/d/112z2rg5HszrAgKOFAt2AOLsJjyG1i0k5/view?usp=drivesdk' target='_blank'>Benton </a>,County,Benton,WA,2005,0,0,1757.18,"US Census Bureau, 2018 Cartographic Boundary Files"
Big Horn,<a href='https://drive.google.com/file/d/1hTeaGr1NVTdcZZdWL9g801QhLwY1L-QR/view?usp=drivesdk' target='_blank'>Big Horn </a>,County,Big Horn,WY,2005,0,1,12990.96,"US Census Bureau, 2018 Cartographic Boundary Files"
Blaine,<a href='https://drive.google.com/file/d/1FLtYANLZNy5oHoRR11aSiwB1Eau5wjji/view?usp=drivesdk' target='_blank'>Blaine </a>,County,Blaine,MT,2005,0,0,6876.07,"US Census Bureau, 2018 Cartographic Boundary Files"
Boise,<a href='https://drive.google.com/file/d/1AN5cizJO9UgwkPfTcB6L-PE2VjdmZLhI/view?usp=drivesdk' target='_blank'>Boise </a>,County,Boise,ID,2005,1,0,4939.25,"US Census Bureau, 2018 Cartographic Boundary Files"
Butte,<a href='https://drive.google.com/file/d/1WSdD3LhffC-ttbrRvRwl9ZgC2mQ_rLf6/view?usp=drivesdk' target='_blank'>Butte </a>,County,Butte,CA,2005,0,0,5798,"US Census Bureau, 2018 Cartographic Boundary Files"
Carson City,<a href='https://drive.google.com/file/d/1hJHGr6Oo7BwC7ULIj9v7V9t_iAKNvQH0/view?usp=drivesdk' target='_blank'>Carson City </a>,Community,Ormsby,NV,2005,0,1,410.62,CWPP
Carter,<a href='https://drive.google.com/file/d/1lPUxKgtfgUz7RPJYt1-GO40mlu02ph_H/view?usp=drivesdk' target='_blank'>Carter </a>,County,Carter,MT,2005,0,0,8671.77,"US Census Bureau, 2018 Cartographic Boundary Files"
Cascade Locks,<a href='https://drive.google.com/file/d/1McZcIts3BGwAkQm_CSzxz7BPXo-IFlXQ/view?usp=drivesdk' target='_blank'>Cascade Locks </a>,Community,Hood River,OR,2005,0,1,8.34,CWPP
Chewelah,<a href='https://drive.google.com/file/d/1MMbh-uLKha6cS0TFbcSWdTFkkwJHowM6/view?usp=drivesdk' target='_blank'>Chewelah </a>,Community,Stevens,WA,2005,0,0,712.2,CWPP
Chiloquin,<a href='https://drive.google.com/file/d/1RgX6eFUzTl0SjHkySINeOXnLVe8qmiOX/view?usp=drivesdk' target='_blank'>Chiloquin </a>,Fire Protection District,Klamath,OR,2005,0,1,561.14,Oregon Spatial Data Library
Clackamas,<a href='https://drive.google.com/file/d/1kQCId-DhHx1ZuEYCpETI83jNHxHGefpc/view?usp=drivesdk' target='_blank'>Clackamas </a>,County,Clackamas,OR,2005,0,0,4868,Oregon Spatial Data Library
Clark,<a href='https://drive.google.com/file/d/1PNxQThlGg2d0-VelK_ybCtpbhhyG_MFo/view?usp=drivesdk' target='_blank'>Clark </a>,County,Clark,NV,2005,0,1,4569.63,"US Census Bureau, 2018 Cartographic Boundary Files"
Clearwater,<a href='https://drive.google.com/file/d/12xxlFs29L2GukrmOQWjILMX1uvhwT0TL/view?usp=drivesdk' target='_blank'>Clearwater </a>,County,Clearwater,ID,2005,0,1,6447.3,"US Census Bureau, 2018 Cartographic Boundary Files"
Colestin and Hilt,<a href='https://drive.google.com/file/d/1AF9TNZ2CJoBMDIs9HN0uqdsY0Clz7O6p/view?usp=drivesdk' target='_blank'>Colestin and Hilt </a>,Fire Protection District,Jackson,OR,2005,0,0,44.84,CWPP
Colorado Sierra,<a href='https://drive.google.com/file/d/1tswfBVRHlvY3jXhVBXIOb2l-GRDRFDFA/view?usp=drivesdk' target='_blank'>Colorado Sierra </a>,Fire Protection District,Gilpin,CO,2005,0,1,4.62,Colorado Forest Atlas
Converse,<a href='https://drive.google.com/file/d/1Ur5hTPIhpszVyA_gm_sI8l4p06V4A_kD/view?usp=drivesdk' target='_blank'>Converse  </a>,County,Converse,WY,2005,0,0,11049.19,"US Census Bureau, 2018 Cartographic Boundary Files"
Crook,<a href='https://drive.google.com/file/d/12mzVnGgHY8AfboYXSRg7_Fkt1_buuI_Q/view?usp=drivesdk' target='_blank'>Crook </a>,County,Crook,OR,2005,0,1,7737.06,Oregon Spatial Data Library
Crook,<a href='https://drive.google.com/file/d/1gS1OPufbIWFJ7txkVSo0clbYlAaLWUC0/view?usp=drivesdk' target='_blank'>Crook  </a>,County,Crook,WY,2005,0,0,7737.06,"US Census Bureau, 2018 Cartographic Boundary Files"
Custer,<a href='https://drive.google.com/file/d/1W5XhccYhRLBSn48aKxMg59MG59Rear8p/view?usp=drivesdk' target='_blank'>Custer </a>,County,Custer,MT,2005,0,1,12790.6,"US Census Bureau, 2018 Cartographic Boundary Files"
Dawson,<a href='https://drive.google.com/file/d/1tioPPVvFIXlOKY1POTOXCRSNpUEHlooD/view?usp=drivesdk' target='_blank'>Dawson </a>,County,Dawson,MT,2005,0,1,6173.55,"US Census Bureau, 2018 Cartographic Boundary Files"
Deer Lodge,<a href='https://drive.google.com/file/d/1TszZ6iyTtJ15w07KfTOReHjsbzshpBLL/view?usp=drivesdk' target='_blank'>Deer Lodge </a>,County,"Anaconda, Deer Lodge",MT,2005,0,0,1919.97,"US Census Bureau, 2018 Cartographic Boundary Files"
Deer Springs,<a href='https://drive.google.com/file/d/1YP_7aAuiA50WDZGJ1S16-krXgf5M1_jC/view?usp=drivesdk' target='_blank'>Deer Springs </a>,Community,San Diego,CA,2005,0,0,773.37,CWPP
Del Norte,<a href='https://drive.google.com/file/d/11ybDv_gJIAKkoKMj0mg8DQBsbSzC9g2W/view?usp=drivesdk' target='_blank'>Del Norte</a>,County,Del Norte,CA,2005,0,1,3184.86,"US Census Bureau, 2018 Cartographic Boundary Files"
Douglas,<a href='https://drive.google.com/file/d/1Or1F_eTFy3j_FPPfbt9p31o0nzehRCK_/view?usp=drivesdk' target='_blank'>Douglas </a>,County,Douglas,NV,2005,0,1,13130.86,"US Census Bureau, 2018 Cartographic Boundary Files"
Elk Creek,<a href='https://drive.google.com/file/d/1M75btkDAZpF2oi052h64VSNU-C8KFJxQ/view?usp=drivesdk' target='_blank'>Elk Creek </a>,Fire Protection District,Jefferson,CO,2005,0,1,217.49,Colorado Forest Atlas
Elko,<a href='https://drive.google.com/file/d/1PYt1Curm3NryaZOxdhgXwiy10gAIf3_j/view?usp=drivesdk' target='_blank'>Elko </a>,County,Elko,NV,2005,0,1,44554.54,"US Census Bureau, 2018 Cartographic Boundary Files"
Esmeralda,<a href='https://drive.google.com/file/d/1m0qeduhRl1dcL5o2dbO0m1tF1hCPjV-6/view?usp=drivesdk' target='_blank'>Esmeralda </a>,County,Esmeralda,NV,2005,0,1,9295.4,"US Census Bureau, 2018 Cartographic Boundary Files"
Eureka,<a href='https://drive.google.com/file/d/1pdtS0zU5JMYDQM1URcblE_oZXbG36js2/view?usp=drivesdk' target='_blank'>Eureka </a>,County,Eureka,NV,2005,0,1,10825.81,"US Census Bureau, 2018 Cartographic Boundary Files"
Fallbrook,<a href='https://drive.google.com/file/d/1Q7Ppx1wuIAOjlsDF89BYozKe9ABLXpaA/view?usp=drivesdk' target='_blank'>Fallbrook </a>,Community,San Diego,CA,2005,0,0,731.58,CWPP
Fallon,<a href='https://drive.google.com/file/d/1iTuRGL_5uWBfn8UNobv1RJT8EUIU9K1i/view?usp=drivesdk' target='_blank'>Fallon </a>,County,Fallon,MT,2005,0,1,4203.49,"US Census Bureau, 2018 Cartographic Boundary Files"
Flagstaff,<a href='https://drive.google.com/file/d/1KmfTbI3Iz6MQAxVaA-Yfx4sBIIFdnnbx/view?usp=drivesdk' target='_blank'>Flagstaff</a>,Community,Coconino,AZ,2005,0,0,3580.59,CWPP
Fresno-Kings,<a href='https://drive.google.com/file/d/1sXM1kIQfO3ko2yu-au_gCSv6RpNmGH7m/view?usp=drivesdk' target='_blank'>Fresno-Kings </a>,Fire Protection District,Fresno,CA,2005,0,0,6569.9,CALFIRE FRAP
Gold Bug Park,<a href='https://drive.google.com/file/d/1VrXF0KsjoB6US5PCcNHMJPFXeTF7yuN7/view?usp=drivesdk' target='_blank'>Gold Bug Park </a>,Community,El Dorado,CA,2005,0,0,0.49,CWPP
Graham,<a href='https://drive.google.com/file/d/1kOXymQUp1jTQAh3Hm8wLxF3n4A7Jk-ka/view?usp=drivesdk' target='_blank'>Graham</a>,County,Graham,AZ,2005,0,0,12020.21,"US Census Bureau, 2018 Cartographic Boundary Files"
Granite,<a href='https://drive.google.com/file/d/1XLRC7YYITF0w5xBXjUKmqtB8kySbbDGu/view?usp=drivesdk' target='_blank'>Granite </a>,County,Granite,MT,2005,0,1,4487.79,"US Census Bureau, 2018 Cartographic Boundary Files"
Grant,<a href='https://drive.google.com/file/d/13q7YpgIVPEzpJQlci9HFHWH3mZK-3Yj_/view?usp=drivesdk' target='_blank'>Grant </a>,County,Grant,OR,2005,0,0,11730.67,Oregon Spatial Data Library
Greater Julian,<a href='https://drive.google.com/file/d/15OEq5UIEr1RrqogeNRbBhIjD5GlAeYLV/view?usp=sharing' target='_blank'>Greater Julian</a>,Community,San Diego,CA,2005,0,0,214.82,CWPP
Greater Tehachapi Area,<a href='https://drive.google.com/file/d/1rYJDfCFkYhJxvYH-57RQxm4lQ4A1cyKm/view?usp=drivesdk' target='_blank'>Greater Tehachapi Area</a>,Community,Kern,CA,2005,0,1,1206.7,CWPP
Greenlee,<a href='https://drive.google.com/file/d/1B206al8v7o_Xj1wHGTJIUliIZGqiqa02/view?usp=drivesdk' target='_blank'>Greenlee</a>,County,Greenlee,AZ,2005,0,1,4787.42,"US Census Bureau, 2018 Cartographic Boundary Files"
Greenwater and Vicinity,<a href='https://drive.google.com/file/d/1tBn4fEDQlH4aaeC2woPbHsSxJAyr6Tj3/view?usp=drivesdk' target='_blank'>Greenwater and Vicinity </a>,Community,Pierce,WA,2005,0,0,100.91,CWPP
Harris Park,<a href='https://drive.google.com/file/d/1wTZ089B5wAC8fa8E6IBtzBfSufr1viN8/view?usp=drivesdk' target='_blank'>Harris Park </a>,Fire Protection District,Park,CO,2005,0,1,243.98,Colorado Forest Atlas
Havillah,<a href='https://drive.google.com/file/d/1g7HzfK4eU6pSERZxxfLLUzTJfNwmxD3H/view?usp=drivesdk' target='_blank'>Havillah </a>,Community,Okanogan,WA,2005,0,0,93.34,CWPP
Highways 410 and 12,<a href='https://drive.google.com/file/d/1neYkjwUN4VV7d2AJgBFfWvzDQYdxlWxf/view?usp=drivesdk' target='_blank'>Highways 410 and 12 </a>,Community,Yakima,WA,2005,0,0,1152.37,CWPP
Hill,<a href='https://drive.google.com/file/d/1Xi71Jom6u5muIWYJ5GevaQmbBYzkzVus/view?usp=drivesdk' target='_blank'>Hill </a>,County,Hill,MT,2005,0,1,7553.65,"US Census Bureau, 2018 Cartographic Boundary Files"
Humboldt,<a href='https://drive.google.com/file/d/1rUveBWEG7ByblOL3mNM5i4gaEYwfLpk5/view?usp=drivesdk' target='_blank'>Humboldt </a>,County,Humboldt,NV,2005,0,1,10495.29,"US Census Bureau, 2018 Cartographic Boundary Files"
Humboldt - Del Norte,<a href='https://drive.google.com/file/d/12a4ourpqM7UGKDJQa6DGAq12RMZLXNsO/view?usp=drivesdk' target='_blank'>Humboldt - Del Norte </a>,Fire Protection District,"Humboldt, Del Norte",CA,2005,0,0,20311.56,CWPP
Idaho,<a href='https://drive.google.com/file/d/1-GxV-ZG_yoj-nhONtAemnuEwyaYLcTnJ/view?usp=drivesdk' target='_blank'>Idaho </a>,County,Idaho,ID,2005,0,1,22021.83,"US Census Bureau, 2018 Cartographic Boundary Files"
Jewett Gap,<a href='https://drive.google.com/file/d/1D9x-CCtBxQpqKe0E2axa2Ir9tC-CXGnS/view?usp=drivesdk' target='_blank'>Jewett Gap </a>,Community,Catron,NM,2005,0,0,109.17,CWPP
Lake,<a href='https://drive.google.com/file/d/1lwb9WPeq03u7aZYjZcCucOs8mXJMhe1A/view?usp=drivesdk' target='_blank'>Lake </a>,County,Lake,MT,2005,0,1,3443.2,"US Census Bureau, 2018 Cartographic Boundary Files"
Lander,<a href='https://drive.google.com/file/d/1BXhr8diHcxmAMbiHBjBOhbXuAHKn7ueJ/view?usp=drivesdk' target='_blank'>Lander </a>,County,Lander,NV,2005,0,1,14295.12,"US Census Bureau, 2018 Cartographic Boundary Files"
Lane,<a href='https://drive.google.com/file/d/1k4GFkstyYV79xw1zXkMu58uDoHVhB01D/view?usp=drivesdk' target='_blank'>Lane </a>,County,Lane,OR,2005,0,0,11959.44,Oregon Spatial Data Library
Latah,<a href='https://drive.google.com/file/d/1mxDtdIDgvttaNcljrlCj5FLnKIbxETvf/view?usp=drivesdk' target='_blank'>Latah</a>,County,Latah,ID,2005,0,1,2789.05,"US Census Bureau, 2018 Cartographic Boundary Files"
Lemhi,<a href='https://drive.google.com/file/d/1XyZOBwN1vGc1_31Nvi0Dc3lEPchdH3pi/view?usp=drivesdk' target='_blank'>Lemhi </a>,County,Lemhi,ID,2005,1,0,11834.37,"US Census Bureau, 2018 Cartographic Boundary Files"
Lewis,<a href='https://drive.google.com/file/d/1bFZRZz23N362XhGaiOoLHftalcytZ1KN/view?usp=drivesdk' target='_blank'>Lewis</a>,County,Lewis,ID,2005,1,1,1242.64,"US Census Bureau, 2018 Cartographic Boundary Files"
Lincoln,<a href='https://drive.google.com/file/d/1VMh7UuIffnQZjBl2dBVbCC6lFaJJ7mi2/view?usp=drivesdk' target='_blank'>Lincoln </a>,County,Lincoln,MT,2005,0,0,3123.21,"US Census Bureau, 2018 Cartographic Boundary Files"
Lincoln,<a href='https://drive.google.com/file/d/1iwl3ptGDxaCPbNhfJ-V5e8nE-SjHUH11/view?usp=drivesdk' target='_blank'>Lincoln </a>,County,Lincoln,NV,2005,0,1,3123.21,"US Census Bureau, 2018 Cartographic Boundary Files"
Little Valley,<a href='https://drive.google.com/file/d/1eQcrABYYvgO_JSZ7rzBc-IMqOkaKMueL/view?usp=drivesdk' target='_blank'>Little Valley </a>,Community,Larimer,CO,2005,0,0,28.27,Colorado Forest Atlas
Manson,<a href='https://drive.google.com/file/d/116CT9uPyqjjX4sooRaPwNPsLj2-xS7qs/view?usp=drivesdk' target='_blank'>Manson </a>,Community,Chelan,WA,2005,0,0,150.56,CWPP
Marin,<a href='https://drive.google.com/file/d/1epnPabMuIl43674z4dIJvO8EEYOBKoOF/view?usp=drivesdk' target='_blank'>Marin </a>,County,Marin,CA,2005,0,0,2145,"US Census Bureau, 2018 Cartographic Boundary Files"
McCone,<a href='https://drive.google.com/file/d/1CZYEkIi1xZcUUngbRshWkVHLVNMnstdX/view?usp=drivesdk' target='_blank'>McCone </a>,County,McCone,MT,2005,0,1,6946.68,"US Census Bureau, 2018 Cartographic Boundary Files"
Mendocino,<a href='https://drive.google.com/file/d/1_EXd2m1pmseJFHfRlccbI9SWuxzsDbyE/view?usp=drivesdk' target='_blank'>Mendocino </a>,County,Mendocino,CA,2005,0,0,10044.38,"US Census Bureau, 2018 Cartographic Boundary Files"
Mineral,<a href='https://drive.google.com/file/d/1k1UaDFIjzn7yHzv6TVA6THpnxJ5P_f2k/view?usp=drivesdk' target='_blank'>Mineral </a>,County,Mineral,MT,2005,0,1,3168.72,"US Census Bureau, 2018 Cartographic Boundary Files"
Missoula,<a href='https://drive.google.com/file/d/1cHvg3JmWbNrl1PdQag63ehVdr1sIBkeU/view?usp=drivesdk' target='_blank'>Missoula </a>,County,Missoula,MT,2005,0,1,6780.54,"US Census Bureau, 2018 Cartographic Boundary Files"
Modoc,<a href='https://drive.google.com/file/d/1NgHVqCpOvT43quf--bjLcSycUJ_7QWyx/view?usp=drivesdk' target='_blank'>Modoc </a>,County,Modoc,CA,2005,0,0,10886.39,"US Census Bureau, 2018 Cartographic Boundary Files"
Mora,<a href='https://drive.google.com/file/d/1V43hY0f60at11AI9cx0XMavuAVEQ-Woq/view?usp=drivesdk' target='_blank'>Mora </a>,County,Mora,NM,2005,0,1,4995.07,"US Census Bureau, 2018 Cartographic Boundary Files"
Mount Laguna,<a href='https://drive.google.com/file/d/11hRU-Rv3Av-79XH_QuPVYSQh_qziWH1t/view?usp=drivesdk' target='_blank'>Mount Laguna</a>,Community,San Diego,CA,2005,0,0,84.24,CWPP
Myers Canyon,<a href='https://drive.google.com/file/d/1nWoeIkO4kTzhBakYhf81yJdA2_DzEqG2/view?usp=drivesdk' target='_blank'>Myers Canyon </a>,Community,Kern,CA,2005,0,1,1.42,CWPP
Natrona,<a href='https://drive.google.com/file/d/1VsUBAw24f4NgnUxlWT7qUQk5VjG9NT8O/view?usp=drivesdk' target='_blank'>Natrona </a>,County,Natrona,WY,2005,0,1,13921.08,"US Census Bureau, 2018 Cartographic Boundary Files"
Nez Perce,<a href='https://drive.google.com/file/d/1rQdZ9MlJjdBa3cCQiF5Zdgwn68aVmPAx/view?usp=drivesdk' target='_blank'>Nez Perce</a>,County,Nez Perce,ID,2005,0,1,2217.55,"US Census Bureau, 2018 Cartographic Boundary Files"
North San Juan,<a href='https://drive.google.com/file/d/12j6VqYodFEDirWCCmxIf833BXgz8IVXT/view?usp=drivesdk' target='_blank'>North San Juan</a>,Fire Protection District,Nevada,CA,2005,0,0,174.66,CWPP
Nye,<a href='https://drive.google.com/file/d/1IhMjLcpRA5ipi-Xr5A1iiXAE24vs1z1H/view?usp=drivesdk' target='_blank'>Nye </a>,County,Nye,NV,2005,0,1,47028.7,"US Census Bureau, 2018 Cartographic Boundary Files"
Owyhee,<a href='https://drive.google.com/file/d/1COVzHOtwFmRSDj8RKs9z3yYxNaVyQFXB/view?usp=drivesdk' target='_blank'>Owyhee </a>,County,Owyhee,ID,2005,0,1,19934,"US Census Bureau, 2018 Cartographic Boundary Files"
Palomar Mountain,<a href='https://drive.google.com/file/d/10Wp__R8M-GvQddhRtql3U2KchA-J9Ikv/view?usp=drivesdk' target='_blank'>Palomar Mountain </a>,Community,San Diego,CA,2005,0,0,182.88,CWPP
Perry Park,<a href='https://drive.google.com/file/d/1IK-CmeRNAgapftZGm5R863ppQzTANGLO/view?usp=drivesdk' target='_blank'>Perry Park </a>,Community,Douglas,CO,2005,0,0,101.19,Colorado Forest Atlas
Peshastin,<a href='https://drive.google.com/file/d/1AmaL58W7Rwyw7dSnTy9OlSk9c_sEQ-eH/view?usp=drivesdk' target='_blank'>Peshastin </a>,Community,Chelan,WA,2005,0,1,147.08,CWPP
